course_code,status,canonical_title,canonical_cus,first_seen,last_seen,edition_count,span_months,college_count,colleges,title_variant_count,title_variants,first_programs,latest_programs
D312,RETIRED,Anatomy and Physiology I with Lab,4,2022-01,2026-06,54,53,2,College of Health Professions | Leavitt School of Health,0,,"Bachelor of Science, Nursing [BSNU] | Master of Science, Nursing - Education (RN to MSN) | Master of Science, Nursing - Leadership and Management (RN to MSN) | Master of Science, Nursing - Nursing Informatics (RN to MSN)","Bachelor of Science, Health Science | Bachelor of Science, Nursing | Bachelor of Science, Nursing - Prelicensure (Pre-Nursing) | Master of Science, Nursing - Education (RN to MSN)"
D313,RETIRED,Anatomy and Physiology II with Lab,4,2022-01,2026-06,54,53,2,College of Health Professions | Leavitt School of Health,0,,"Bachelor of Science, Nursing [BSNU] | Master of Science, Nursing - Education (RN to MSN) | Master of Science, Nursing - Leadership and Management (RN to MSN) | Master of Science, Nursing - Nursing Informatics (RN to MSN)","Bachelor of Science, Health Science | Bachelor of Science, Nursing | Bachelor of Science, Nursing - Prelicensure (Pre-Nursing) | Master of Science, Nursing - Education (RN to MSN)"
D314,RETIRED,Essentials of Academic Writing,1,2022-01,2026-06,54,53,2,College of Health Professions | Leavitt School of Health,0,,"Post-Master's Certificate, Nursing - Leadership and Management (Post-MSN) | Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)","Post-Master's Certificate, Nursing - Leadership and Management (Post-MSN) | Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
D315,RETIRED,Network and Security - Foundations,3,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, AI Engineering | Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco"
D316,RETIRED,IT Foundations,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure"
D317,RETIRED,IT Applications,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Amazon Web Services | Bachelor of Science, Cloud and Network Engineering - Cisco | Bachelor of Science, Cloud and Network Engineering - Microsoft Azure"
D318,RETIRED,Cloud Applications,3,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering | Bachelor of Science, Cloud and Network Engineering - Cisco | Bachelor of Science, Information Technology | Bachelor of Science, Information Technology (BSIT to MSIT)"
D319,RETIRED,AWS Cloud Architecture,3,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cloud and Network Engineering - Amazon Web Services"
D320,RETIRED,Managing Cloud Security,4,2022-05,2026-06,50,49,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing","Bachelor of Science, Cybersecurity and Information Assurance"
D321,RETIRED,AWS Developer,3,2022-06,2025-07,38,37,2,College of Information Technology | School of Technology,0,,"Bachelor of Science, Cloud Computing – Amazon Web Services track","Bachelor of Science, Cloud Computing - Amazon Web Services track"
