scope,course_code,title,cus,program_count,colleges,programs
AP,C919,Facilitation of Context-Based Student-,2,3,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
AP,C920,Contemporary Curriculum Design and,2,3,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
AP,C921,Assessment and Evaluation Strategies for,3,3,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
AP,C922,Emerging Trends and Challenges in 21st,2,3,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
AP,C926,Earth: Inside and Out,3,1,School of Education,Master of Arts Science Education (Middle Grades)
AP,C946,Nursing Education Field Experience,2,3,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
AP,C947,Nursing Education Capstone,2,3,Leavitt School of Health,"Master of Science, Nursing - Education (BSN to MSN); Master of Science, Nursing - Education (RN to MSN); Post-Master's Certificate, Nursing - Nursing Education (Post-MSN)"
AP,C949,Data Structures and Algorithms I,4,5,School of Technology,"Bachelor of Science, Computer Science; Bachelor of Science, Data Analytics; Bachelor of Science, Software Engineering (BSSWE to MSSWE); Bachelor of Science, Software Engineering [BSSWE]; Bachelor of Science, Software Engineering [BSSWE_C]"
AP,C950,Data Structures and Algorithms II,4,2,School of Technology,"Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS)"
AP,C952,Computer Architecture,3,2,School of Technology,"Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS)"
AP,C955,Applied Probability and Statistics,3,23,Leavitt School of Health; School of Business; School of Technology,"Bachelor of Science in Psychology; Bachelor of Science, Accounting; Bachelor of Science, Business Management; Bachelor of Science, Cloud and Network Engineering; Bachelor of Science, Cloud and Network Engineering - Amazon Web Services; Bachelor of Science, Cloud and Network Engineering - Cisco; Bachelor of Science, Cloud and Network Engineering - Microsoft Azure; Bachelor of Science, Communications; Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS); Bachelor of Science, Cybersecurity and Information Assurance; Bachelor of Science, Data Analytics; Bachelor of Science, Finance; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology (BSIT to MSIT); Bachelor of Science, Information Technology Management; Bachelor of Science, Marketing; Bachelor of Science, Software Engineering (BSSWE to MSSWE); Bachelor of Science, Software Engineering [BSSWE]; Bachelor of Science, Software Engineering [BSSWE_C]; Bachelor of Science, Supply Chain and Operations Management; Bachelor of Science, User Experience Design"
AP,C957,Applied Algebra,3,20,Leavitt School of Health; School of Business; School of Technology,"Bachelor of Science, Accounting; Bachelor of Science, Cloud and Network Engineering; Bachelor of Science, Cloud and Network Engineering - Amazon Web Services; Bachelor of Science, Cloud and Network Engineering - Cisco; Bachelor of Science, Cloud and Network Engineering - Microsoft Azure; Bachelor of Science, Cybersecurity and Information Assurance; Bachelor of Science, Data Analytics; Bachelor of Science, Finance; Bachelor of Science, Health Information Management; Bachelor of Science, Health Science; Bachelor of Science, Healthcare Administration; Bachelor of Science, Human Resource Management; Bachelor of Science, Information Technology; Bachelor of Science, Information Technology (BSIT to MSIT); Bachelor of Science, Information Technology Management; Bachelor of Science, Nursing - Prelicensure (Pre-Nursing); Bachelor of Science, Software Engineering (BSSWE to MSSWE); Bachelor of Science, Software Engineering [BSSWE]; Bachelor of Science, Software Engineering [BSSWE_C]; Bachelor of Science, Supply Chain and Operations Management"
AP,C958,Calculus I,4,2,School of Technology,"Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS)"
AP,C959,Discrete Mathematics I,4,2,School of Technology,"Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS)"
AP,C960,Discrete Mathematics II,4,2,School of Technology,"Bachelor of Science, Computer Science; Bachelor of Science, Computer Science (BSCS to MSCS)"
